FID,GEOMETRIA,gml_id,ID_EQ_ED,NOME,INSTANCIA,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL
ESCOLAS_ESTADUAIS.170,POINT (614178.54863448 7803351.60540027),ESCOLAS_ESTADUAIS.490.Estadual.ESCOLA ESTADUAL MARIA DE LOURDES DE OLIVEIRA,490,ESCOLA ESTADUAL MARIA DE LOURDES DE OLIVEIRA,Estadual,RUA,JOSE ISIDORO MIRANDA,140,,Maria Goretti,NORDESTE
ESCOLAS_ESTADUAIS.171,POINT (614892.0483714 7799686.32172294),ESCOLAS_ESTADUAIS.924.Estadual.ESCOLA ESTADUAL CARLOS GOES,924,ESCOLA ESTADUAL CARLOS GOES,Estadual,RUA,ERNESTO AUSTIN,420,,Boa Vista,LESTE
ESCOLAS_ESTADUAIS.172,POINT (606410.4174838 7798641.87995559),ESCOLAS_ESTADUAIS.1013.Estadual.ESCOLA ESTADUAL ELISEU LABORNE E VALE,1013,ESCOLA ESTADUAL ELISEU LABORNE E VALE,Estadual,AVE,PANDIA CALOGERAS,120,,Jardim Montanhês,NOROESTE
ESCOLAS_ESTADUAIS.173,POINT (613273.91550085 7794038.76130055),ESCOLAS_ESTADUAIS.198.Estadual.ESCOLA ESTADUAL PROFESSOR PEDRO ALEIXO,198,ESCOLA ESTADUAL PROFESSOR PEDRO ALEIXO,Estadual,AVE,DOS BANDEIRANTES,2300,,Mangabeiras,CENTRO-SUL
ESCOLAS_ESTADUAIS.174,POINT (604533.58237886 7792200.9710739),ESCOLAS_ESTADUAIS.907.Estadual.ESCOLA ESTADUAL PADRE JOAO BOTELHO,907,ESCOLA ESTADUAL PADRE JOAO BOTELHO,Estadual,RUA,MARIA DE LOURDES MANSO,81,,Bairro das Indústrias I,BARREIRO
ESCOLAS_ESTADUAIS.175,POINT (609259.78580563 7808246.97592408),ESCOLAS_ESTADUAIS.439.Estadual.ESCOLA ESTADUAL PADRE LEBRET,439,ESCOLA ESTADUAL PADRE LEBRET,Estadual,RUA,SAO BENEDITO,123,,São João Batista,VENDA NOVA
ESCOLAS_ESTADUAIS.176,POINT (603603.48390654 7798825.95385905),ESCOLAS_ESTADUAIS.43.Estadual.ESCOLA ESTADUAL PADRE JOAO MARIA KOOYMAN,43,ESCOLA ESTADUAL PADRE JOAO MARIA KOOYMAN,Estadual,RUA,PORTO VELHO,1021,,Novo Glória,NOROESTE
ESCOLAS_ESTADUAIS.177,POINT (605827.66314273 7792349.03727814),ESCOLAS_ESTADUAIS.163.Estadual.ESCOLA ESTADUAL DOM CABRAL,163,ESCOLA ESTADUAL DOM CABRAL,Estadual,RUA,SAO FELICISSIMO,153,,Estrela do Oriente,OESTE
ESCOLAS_ESTADUAIS.178,POINT (614853.72133648 7798737.87970517),ESCOLAS_ESTADUAIS.574.Estadual.ESCOLA ESTADUAL CAMINHO A LUZ,574,ESCOLA ESTADUAL CAMINHO A LUZ,Estadual,RUA,CRAVINAS,537,,Esplanada,LESTE
ESCOLAS_ESTADUAIS.179,POINT (611980.40859866 7800588.20340821),ESCOLAS_ESTADUAIS.510.Estadual.ESCOLA ESTADUAL ANA DE CARVALHO SILVEIRA,510,ESCOLA ESTADUAL ANA DE CARVALHO SILVEIRA,Estadual,RUA,DOM LEME,235,,Silveira,NORDESTE
