FID,GEOMETRIA,gml_id,ID_EQ_ED,NOME,INSTANCIA,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL
ESCOLAS_PARTICULARES.222,POINT (607215.073223 7805626.69830604),ESCOLAS_PARTICULARES.2191.Particular.DINAMICA CENTRO EDUCACIONAL,2191,DINAMICA CENTRO EDUCACIONAL,Particular,RUA,LEVINDO IGNACIO RIBEIRO,240,,Santa Amélia,PAMPULHA
ESCOLAS_PARTICULARES.223,POINT (613882.3990537 7793045.91908718),ESCOLAS_PARTICULARES.2496.Particular.COLEGIO MANGABEIRAS,2496,COLEGIO MANGABEIRAS,Particular,RUA,PROFESSOR DJALMA GUIMARAES,140,,Mangabeiras,CENTRO-SUL
ESCOLAS_PARTICULARES.224,POINT (604002.85510244 7793889.80731617),ESCOLAS_PARTICULARES.2044.Particular.SESI ESC EMILIA MASSANTI,2044,SESI ESC EMILIA MASSANTI,Particular,RUA,ALBERT SCHARLE,5,,Madre Gertrudes,OESTE
ESCOLAS_PARTICULARES.225,POINT (611313.81030966 7806577.83470498),ESCOLAS_PARTICULARES.2459.Particular.ESC DO FUTURO,2459,ESC DO FUTURO,Particular,RUA,OLIVIA MARIA DE JESUS,1727,,Floramar,NORTE
ESCOLAS_PARTICULARES.226,POINT (610872.50096879 7796045.00863119),ESCOLAS_PARTICULARES.2512.Particular.COLEGIO BERNOULLI,2512,COLEGIO BERNOULLI,Particular,RUA,BERNARDO GUIMARAES,1738,,Lourdes,CENTRO-SUL
ESCOLAS_PARTICULARES.227,POINT (611931.69616029 7797538.50463441),ESCOLAS_PARTICULARES.2394.Particular.RECRIANCA ESPACO INFANTIL,2394,RECRIANCA ESPACO INFANTIL,Particular,RUA,ITAJUBA,160,,Floresta,CENTRO-SUL
ESCOLAS_PARTICULARES.228,POINT (611926.99602905 7797613.53936131),ESCOLAS_PARTICULARES.2114.Particular.COL COTEMIG FLORESTA,2114,COL COTEMIG FLORESTA,Particular,RUA,ITAJUBA,223,,Floresta,CENTRO-SUL
ESCOLAS_PARTICULARES.229,POINT (608618.32626776 7793409.41509862),ESCOLAS_PARTICULARES.2766.Particular.CRECHE COMUNITÁRIA CANTINHO DE ANJO,2766,CRECHE COMUNITÁRIA CANTINHO DE ANJO,Particular,RUA,TREZE DE SETEMBRO,325,,Leonina,OESTE
ESCOLAS_PARTICULARES.230,POINT (610008.6580745 7795872.68370743),ESCOLAS_PARTICULARES.2151.Particular.ASSOC COMUNIDADE ESC COMUMVIVER,2151,ASSOC COMUNIDADE ESC COMUMVIVER,Particular,AVE,BARBACENA,1477,,Santo Agostinho,CENTRO-SUL
ESCOLAS_PARTICULARES.231,POINT (612493.90607024 7795496.52027441),ESCOLAS_PARTICULARES.2312.Particular.IMAM INSTITUTO MINEIRO DE ACUPUNTURA E MASSAGENS,2312,IMAM INSTITUTO MINEIRO DE ACUPUNTURA E MASSAGENS,Particular,AVE,DO CONTORNO,4498,,Funcionários,CENTRO-SUL
ESCOLAS_PARTICULARES.232,POINT (609846.75916759 7795387.44247688),ESCOLAS_PARTICULARES.2076.Particular.COLEGIO LOYOLA,2076,COLEGIO LOYOLA,Particular,AVE,DO CONTORNO,7919,,Cidade Jardim,CENTRO-SUL
ESCOLAS_PARTICULARES.233,POINT (609131.80323791 7796105.04641068),ESCOLAS_PARTICULARES.2073.Particular.CENTRO EDUCACIONAL PIO XII,2073,CENTRO EDUCACIONAL PIO XII,Particular,AVE,DO CONTORNO,8902,,Barro Preto,CENTRO-SUL
ESCOLAS_PARTICULARES.234,POINT (611133.02841932 7794750.04221785),ESCOLAS_PARTICULARES.2064.Particular.COLEGIO PADRE MACHADO,2064,COLEGIO PADRE MACHADO,Particular,AVE,DO CONTORNO,6475,,Santo Antônio,CENTRO-SUL
ESCOLAS_PARTICULARES.235,POINT (609080.62952821 7796517.68241982),ESCOLAS_PARTICULARES.2019.Particular.COL N SRA DO MONTE CALVARIO,2019,COL N SRA DO MONTE CALVARIO,Particular,AVE,DO CONTORNO,9384,,Barro Preto,CENTRO-SUL
ESCOLAS_PARTICULARES.236,POINT (612915.23573038 7796801.86457536),ESCOLAS_PARTICULARES.2231.Particular.ESCOLA DE PROTESE ODONTOLOGICA EXPERT M MARTINS,2231,ESCOLA DE PROTESE ODONTOLOGICA EXPERT M MARTINS,Particular,AVE,DO CONTORNO,2905,,Santa Efigênia,LESTE
ESCOLAS_PARTICULARES.237,POINT (613298.10245366 7805897.05105494),ESCOLAS_PARTICULARES.2870.Particular.INSTITUTO EDUCACIONAL CRISTÃO PEQUENOS BRILHANTES,2870,INSTITUTO EDUCACIONAL CRISTÃO PEQUENOS BRILHANTES,Particular,RUA,EMILIO CARDOSO AIRES,210,,Tupi B,NORTE
